group_id,item_id,merchant_name,name,search_term,approved
1,870,Well.ca,Black River Apple + Mango,apples,y
1,899,Walmart,Black River Apple Mango 1l 1 L,apples,y
2,876,Well.ca,Bach Crab Apple Flower Essence,apples,y
2,871,Healthy Planet,Bach Crab Apple 20mL,apples,y
3,880,Well.ca,Bob Snail Fruit Jelly Apple Sour Cherry,apples,y
3,883,Well.ca,Bob Snail Fruit Sticks Apple Pear Blueberry,apples,y
3,888,Well.ca,Bob Snail Fruit Jelly Apple Mango Pumpkin Chia,apples,y
3,936,Healthy Planet,Bob Snail Fruit Strips Apple Pear Blueberry 84g,apples,y
4,932,Walmart,Prana Org Protein Overnight Chia- Maple And Apple 260g 260g,apples,y
4,953,Healthy Planet,Prana Chialove Protein Overnight Chia Oats Maple and Apple 260g - Canadian Owned and Organic,apples,y
5,849,Walmart,"Apple, Granny Smith",apples,y
5,850,Walmart,"Apple, Granny Smith",apples,y
5,6101,Nature's Emporium,Organic Granny Smith Apples,apples,y
6,6112,Longos,Fresh Pink Lady or Granny Smith Apples,apples,y
6,848,Walmart,"Apple, Pink Lady",apples,y
6,6109,Longos,Fresh Pink Lady or Granny Smith Apples,apples,y
7,6113,Healthy Planet,Organic Pink Lady Apples,apples,y
7,860,Walmart,"Fruitilicious Apples, Pink Lady Organic",apples,y
7,6110,Longos,Fresh Organic Pink Lady or Fuji Apples,apples,y
8,3203,Well.ca,Rviita Energy Tea Clean Energy Drink Prospearity Apple + Pear,apples,y
8,944,Healthy Planet,Rviita Energy Tea Apple Pear Green Tea 355mL - Canadian Owned and Organic,apples,y
9,847,Walmart,"Apple, Fuji",apples,y
9,6103,Bestco Foodmart,Fuji Apple,apples,y
9,6104,Bestco Foodmart,Fuji Apple,apples,y
9,6106,Blue Sky Supermarket,Chinese Fuji Apple,apples,y
10,863,Walmart,Your Fresh Market Organic Gala Apples,apples,y
10,6111,Healthy Planet,Organic Gala Apples,apples,y
11,878,Well.ca,True Co. True Dates Flavoured Sour Apple,apples,y
11,949,Healthy Planet,True Dates Flavoured Dates Sour Apple 100g - Vegan and Non-GMO,apples,y
12,5999,Well.ca,Stash Cinnamon Apple Chamomile Tea,apples,y
12,914,London Drugs,Stash Tea - Cinnamon Apple Chamomile Size 20s,apples,y
13,885,London Drugs,Hydralyte Effervescent Electrolyte Granules Sparkling Apple - 12's Size 12s,apples,y
13,6065,Healthy Planet,"Hydralyte Electrolyte Granules Sparkling Apple 12x6g - Vegan, Non-GMO, Helps with Hydration, Energy and Endurance",apples,y
14,891,Healthy Planet,The Ginger People Gin Gins Chewy Ginger Candy Spicy Apple 84g - Vegan and Non-GMO,apples,y
14,6015,Well.ca,The Ginger People Gin Gins Spicy Apple Chewy Ginger Candy,apples,y
15,904,Shoppers Drug Mart,Little Bellies Organic Apple & Berry Softcorn 8 g,apples,y
15,972,Walmart,"Little Bellies Organic Apple Berry Soft Corn 10+ Months, 8gr 8gr",apples,y
16,6102,Real Canadian Superstore,ROYAL GALA APPLES,apples,y
16,6105,Adonis,royal Gala or granny smith apples,apples,y
17,6107,Foody World,Fresh Max Apple,apples,y
17,6108,Foody Mart,Fresh Max Apple,apples,y
18,989,Walmart,The Little Potato Company Fresh Little Potatoes - 3lb Little Yellows,potatoes,y
18,991,Walmart,The Little Potato Company Fresh Little Potatoes - 3lb Little Reds,potatoes,y
18,992,Walmart,The Little Potato Company Fresh Little Potatoes - 3lb Little Trios,potatoes,y
18,6300,Longos,"The Little Potato Company Little Reds, Yellows, Trios or Fingerlings Mini Potatoes",potatoes,y
19,6170,Walmart,Bob's Red Mill Potato Starch 624 G,potatoes,y
19,1039,Healthy Planet,Bobs Red Mill Potato Starch 623g - Gluten Free And Non-GMO,potatoes,y
20,6271,H Mart ,ONTARIO NEW CROP YELLOW POTATOES,potatoes,y
20,6272,Highland Farms,Ontario Homegrown White or Yellow Flesh Potatoes,potatoes,y
21,6273,No Frills,WHITE POTATOES,potatoes,y
21,6277,Sobeys,Potatoes,potatoes,y
22,6283,No Frills,"WHITE POTATOES, 10 LB BAG",potatoes,y
22,6287,Real Canadian Superstore,"FARMER'S MARKET™ WHITE POTATOES, 10 LB",potatoes,y
23,6304,Fortinos,"MARZETTI DIPS, 340 G OR FOIL BAKING POTATOE, 4'S",potatoes,y
23,6305,Loblaws,"MARZETTI DIPS, 340 g OR FOIL BAKING POTATO, 4's",potatoes,y
24,6314,Longos,Cavendish Premium Fries or Onion Rings,potatoes,y
24,6315,Longos,Cavendish Premium Fries or Onion Rings,potatoes,y
24,6318,Longos,Cavendish Premium Fries or Onion Rings,potatoes,y
24,6327,Fortinos,"CAVENDISH FARMS FRIES, SPECIALTY POTATO OR ONION RINGS, 400-750 G",potatoes,y
25,6316,Adonis,McCain french fries,potatoes,y
25,6320,Food Basics,McCAIN FRENCH FRIES OR TASTY POTATOES,potatoes,y
25,6321,Highland Farms,McCain Regular Fries or Hash browns,potatoes,y
26,6317,Oceans Fresh Food Market,French Fries,potatoes,y
26,6322,Sobeys,Fries,potatoes,y
27,4946,Foody Mart,Gray Ridge Medium Brown Egg 180pcs,eggs,y
27,155,Walmart,Gray Ridge Medium White 60 Eggs Medium Eggs,eggs,y
27,158,Walmart,Gray Ridge Large Brown 18 Eggs L,eggs,y
27,157,Walmart,Gray Ridge Premium Large White 18 Eggs L,eggs,y
27,4933,Longos,Gray Ridge Large White Eggs,eggs,y
27,4936,Longos,Gray Ridge Large White Eggs,eggs,y
27,4942,Longos,Gray Ridge Large White Eggs,eggs,y
28,4950,Food Basics,SCHNEIDERS BREAKFAST OR EGG BITES,eggs,y
28,4951,Food Basics,SCHNEIDERS BREAKFAST OR EGG BITES,eggs,y
28,171,Walmart,"Schneider's Schneiders Egg With Spinach, Red Pepper & Parmesan Breakfast Bites, 4 Per Pack 224g",eggs,y
28,172,Walmart,"Schneider's Schneiders Ham & Swiss Egg Breakfast Bites, 4 Per Pack 224 G",eggs,y
29,4926,Nature's Emporium,YORKSHIRE VALLEY FARMS Organic Medium Eggs,eggs,y
29,4938,Highland Farms,YORKSHIRE VALLEY FARMS Pasture-raised Organic Large Eggs,eggs,y
30,4927,Metro,SELECTION LARGE EGGS,eggs,y
30,4930,Adonis,Selection white egg x-large,eggs,y
30,4941,Food Basics,SELECTION LARGE EGGS,eggs,y
31,4928,Farm Boy,Burnbrae Farms Omega-3 Eggs,eggs,y
31,4937,T&T Supermarket,"BURNBRAE FARMS OMEGA 3 BROWN EGGS, 12PCS",eggs,y
32,4932,Oceans Fresh Food Market,Burnbrae Large White Eggs,eggs,y
32,4940,Sobeys,Large White Eggs,eggs,y
33,7318,Farm Boy,Tomatoes,tomatoes,y
33,7329,Food Basics,FIELD TOMATOES,tomatoes,y
33,7312,Bestco Foodmart,Tomatoes,tomatoes,y
33,7313,Bestco Foodmart,Tomatoes,tomatoes,y
34,7319,Walmart,Tomatoes on the vine,tomatoes,y
34,7335,Sobeys,Tomatoes on the Vine,tomatoes,y
34,7336,Metro,TOMATOES ON THE VINE,tomatoes,y
34,7338,Metro,TOMATOES ON THE VINE,tomatoes,y
34,7353,Sobeys,Cherry Tomatoes on the Vine,tomatoes,y
34,7316,Real Canadian Superstore,TOMATOES ON THE VINE,tomatoes,y
35,7320,Fortinos,ROMA TOMATOES,tomatoes,y
35,7330,Loblaws,ROMA TOMATOES,tomatoes,y
35,7331,Sobeys,Roma Tomatoes,tomatoes,y
35,7343,Walmart,Roma or cluster tomatoes,tomatoes,y
35,1648,Walmart,"Tomato, Roma",tomatoes,y
35,7315,Blue Sky Supermarket,Roma Tomato,tomatoes,y
35,7314,Btrust Supermarket,Roma Tomato,tomatoes,y
36,7321,Walmart,Bulk beefsteak tomatoes,tomatoes,y
36,3957,Walmart,"Tomato, Beefsteak",tomatoes,y
36,7311,Real Canadian Superstore,BEEFSTEAK TOMATOES,tomatoes,y
37,7323,Starsky,Ontario Grown Field Tomatoes,tomatoes,y
37,7327,Highland Farms,Ontario Homegrown Field Tomatoes,tomatoes,y
38,7326,Adonis,red vine tomatoes,tomatoes,y
38,7344,Adonis,Red vine tomatoes,tomatoes,y
38,7355,Healthy Planet,Organic Tomato Red Vine,tomatoes,y
39,7328,Metro,WILD WONDERS OR SWEET CHERRY TOMATOES,tomatoes,y
39,7359,Metro,WILD WONDERS OR SWEET CHERRY TOMATOES,tomatoes,y
39,1655,Walmart,Sunset Wild Wonders Tomatoes,tomatoes,y
39,1656,Walmart,Sunset Wild Wonders Gourmet Medley Tomatoes,tomatoes,y
40,7339,Fortinos,LARGE VINE RIPE TOMATOES,tomatoes,y
40,7340,Loblaws,LARGE VINE RIPE TOMATOES,tomatoes,y
40,7342,Your Independent Grocer,VINE RIPE FIELD TOMATOES,tomatoes,y
41,7341,Highland Farms,Ontario Homegrown Roma Tomatoes,tomatoes,y
41,7345,FreshCo,"Roma Tomatoes Product of Ontario, Canada No. 1, 3.73/Kg",tomatoes,y
42,7346,No Frills,"FARMER'S MARKET™ GRAPE TOMATOES, 283 G",tomatoes,y
42,7351,Loblaws,"GRAPE TOMATOES, 283 G",tomatoes,y
42,7356,Fortinos,"GRAPE TOMATOES, 283 G OR RADICCHIO",tomatoes,y
43,7347,Loblaws,PC® ORGANICS TOMATOES ON THE VINE,tomatoes,y
43,7348,Fortinos,PC® ORGANICS TOMATOES ON THE VINE,tomatoes,y
44,7349,No Frills,NO NAME® NATURALLY IMPERFECT™ TOMATOES,tomatoes,y
44,7352,Real Canadian Superstore,"NO NAME® NATURALLY IMPERFECT™ TOMATOES, 2.5 LB",tomatoes,y
45,6284,Loblaws,"LOCAL POTATOES OR TOMATOES, 3 L BASKET",tomatoes,y
45,6290,Metro,"LOCAL BASKETS PEACHES, WHITE POTATOES OR DILL CUCUMBERS OR NECTARINES FIELD TOMATOES",tomatoes,y
45,6289,Metro,"LOCAL BASKETS PEACHES, WHITE POTATOES OR DILL CUCUMBERS 3 L, NECTARINES 2 L OR FIELD TOMATOES 3 L",tomatoes,y
45,6291,Metro,"LOCAL BASKETS PEACHES, WHITE POTATOES OR DILL CUCUMBERS, NECTARINES OR FIELD TOMATOES",tomatoes,y
45,6292,Metro,"LOCAL BASKETS PEACHES, WHITE POTATOES OR DILL CUCUMBERS, NECTARINES, FIELD TOMATOES",tomatoes,y
45,6298,Fortinos,"LOCAL POTATOES OR TOMATOES, 3 L BASKET",tomatoes,y
46,7362,Adonis,Unico tomato paste,tomatoes,y
46,7363,Btrust Supermarket,UNICO Tomato Paste,tomatoes,y
46,1708,Walmart,Unico Tomato Paste 156ml 156,tomatoes,y
47,7369,Your Independent Grocer,ENGLISH CUCUMBERS OR GREENHOUSE BEEFSTEAK TOMATOES,tomatoes,y
47,7376,Independent City Market,"ENGLISH CUCUMBERS,2 EACH OR GREENHOUSE BEEFSTEAK TOMATOES, $2 LB",tomatoes,y
48,7377,Fortinos,"PRIMO DICED NO SALT ADDED TOMATOES, (796 ML)",tomatoes,y
48,1729,Walmart,Great Value No Salt Added Diced Tomatoes 796 Ml,tomatoes,y
48,1769,Healthy Planet,Vita Bio Organic Diced Tomatoes No Added Salt 796mL,tomatoes,y
49,1674,Well.ca,Ojas Vegan Tomato Basil Quinoa Pops,tomatoes,y
49,1759,Healthy Planet,"Ojas Vegan Quinoa Pops Tomato Basil 45g - Vegan, Plant Based, Helps with Energy Support",tomatoes,y
50,1649,Walmart,"Tomatoes, Organic Grape",tomatoes,y
50,7310,Nature's Emporium,Organic Grape Tomatoes Pint,tomatoes,y
51,1695,London Drugs,LAYS TOMATO TANGO 200G,tomatoes,y
51,1673,Walmart,Lay´s Lays Tomato Tango 165gm,tomatoes,y
52,1675,Walmart,"Heinz Original Beans In Tomato Sauce, 398 Ml Can 398 Ml",tomatoes,y
52,1687,Walmart,"Heinz Original Beans With Pork & Tomato Sauce, 398 Ml Can 398 Ml",tomatoes,y
52,1736,London Drugs,HEINZ D/B BEANS N TOMATO SCE 398ML,tomatoes,y
52,1730,London Drugs,HEINZ BEANS IN TOMATO SAUCE 398ML,tomatoes,y
53,7192,Well.ca,Nice Cans Sardines in Tomato & Peppers,tomatoes,y
53,1771,Healthy Planet,Nice Cans Sardines In Tomato And Peppers 120g - MSC Certified,tomatoes,y
54,1679,London Drugs,Love Child Organics Love Ducks Corn Snacks - Tomato + Carrot,tomatoes,y
54,1724,Healthy Planet,Love Child Organic Corn Snacks Love Ducks Tomato & Carrot 25g - Organic and Non-GMO,tomatoes,y
55,1777,Healthy Planet,Jamieson Lycopene Tomato Concentrate 60 Caplets - Gluten Free and Preservatives Free,tomatoes,y
55,1751,Walmart,Jamieson Lycopene Tomato Concentrate Caplets 60 Count (Pack Of 1),tomatoes,y
56,1723,Staples,"Cricut Premium Vinyl Glossy Finish Permanent Adhesive - 12"" x 48"" - Tomato Red - 2 Pack",tomatoes,y
56,1722,Bureau en gros,"Cricut Premium Vinyl Glossy Finish Permanent Adhesive - 12"" x 48"" - Tomato Red - 2 Pack",tomatoes,y
57,1743,Walmart,Mutti Whole Peeled Tomatoes 796ml 796 Ml,tomatoes,y
57,1689,London Drugs,Mutti Parma Pelati Peeled Tomatoes 100% Italian Size 796ml,tomatoes,y
57,1690,London Drugs,Mutti Parma Polpa Finely Chopped Tomatoes 100% Italian Size 796ml,tomatoes,y
58,1754,London Drugs,Quaker Rice Cakes - Savoury Tomato & Basil Size 173g,tomatoes,y
58,1764,Walmart,Quaker Crispy Minis Savoury Tomato & Basil Flavour Large Brown Rice Cakes 173g,tomatoes,y
59,1756,Shoppers Drug Mart,Love Child Love Ducks Tomato + Carrot Corn Snacks 30 g,tomatoes,y
59,1762,Walmart,Love Child Organics Love Ducks Tomato + Carrot Corn Snacks 30g Bag 30 G,tomatoes,y
60,2434,London Drugs,Cha's Organic Coconut Milk Size 400ml,milk,y
60,73,Walmart,Thai Kitchen Pure Coconut Milk 400ml,milk,y
60,72,Walmart,Delicious Kitchen Premium Light Coconut Milk 400ml 400 Ml,milk,y
61,22,Walmart,A2 Milk®3.25% Mf 2 L,milk,y
61,21,Walmart,A2 Milk®2% Mf 2 L,milk,y
61,4808,Metro,A2 MILK,milk,y
62,4812,Sobeys,Soft & Chewy Dog Treats or Brushing Chews,milk,y
62,4813,Foodland,Soft & Chewy Dog Treats or Brushing Chews,milk,y
62,4814,Sobeys,Comfort Chews Dog Treats,milk,y
