group_id,item_id,merchant_name,name,search_term,approved
1,870,Well.ca,Black River Apple + Mango,apples,y
1,899,Walmart,Black River Apple Mango 1l 1 L,apples,y
2,871,Healthy Planet,Bach Crab Apple 20mL,apples,y
2,876,Well.ca,Bach Crab Apple Flower Essence,apples,y
3,878,Well.ca,True Co. True Dates Flavoured Sour Apple,apples,y
3,949,Healthy Planet,True Dates Flavoured Dates Sour Apple 100g - Vegan and Non-GMO,apples,y
4,880,Well.ca,Bob Snail Fruit Jelly Apple Sour Cherry,apples,n
4,883,Well.ca,Bob Snail Fruit Sticks Apple Pear Blueberry,apples,n
4,888,Well.ca,Bob Snail Fruit Jelly Apple Mango Pumpkin Chia,apples,n
4,936,Healthy Planet,Bob Snail Fruit Strips Apple Pear Blueberry 84g,apples,n
5,904,Shoppers Drug Mart,Little Bellies Organic Apple & Berry Softcorn 8 g,apples,y
5,972,Walmart,"Little Bellies Organic Apple Berry Soft Corn 10+ Months, 8gr 8gr",apples,y
6,932,Walmart,Prana Org Protein Overnight Chia- Maple And Apple 260g 260g,apples,y
6,953,Healthy Planet,Prana Chialove Protein Overnight Chia Oats Maple and Apple 260g - Canadian Owned and Organic,apples,y
7,183,London Drugs,Dempsters Dempster's 100% Whole Wheat Bread Size 675g,bread,y
7,207,Walmart,Dempster's Dempster’s® Half Loaf 100% Whole Wheat Bread,bread,y
7,213,Walmart,Dempster's Dempster’s® 100% Whole Wheat Thin Sandwich Sliced Bread,bread,y
7,215,Walmart,Dempster's Dempster’s® 100% Whole Wheat Sliced Bread,bread,y
8,185,London Drugs,Villaggio Bread - Italian Style in White Size 510g,bread,y
8,211,Walmart,Villaggio® Artesano White Sliced Bread,bread,y
8,217,Walmart,Villaggio® Italian Style 100% Whole Wheat Thick Sliced Bread,bread,y
8,218,Walmart,Villaggio® Classico Italian Style White Thick Sliced Bread,bread,y
9,236,Walmart,"Food For Life: Organic Ezekiel 4:9 Sprouted Whole Grain Bread, High Fiber, Vegan, Sprouted Grains, Non-Gms, Diabetic Friendly, Complete Plant Protein,",bread,y
9,278,Healthy Planet,Food For Life Bread Ezekiel 4:9 Cinnamon Raisin 680g - Organic and Vegan,bread,y
9,290,Healthy Planet,Food For Life Bread Ezekiel 4:9 Flax 680g - Organic and Vegan,bread,y
9,291,Healthy Planet,Food For Life Bread Ezekiel 4:9 Sesame 680g - Organic and Vegan,bread,y
9,300,Healthy Planet,Food For Life Bread Ezekiel 4:9 Whole Grain 680g - Organic and Vegan,bread,y
10,279,Walmart,Schar Schär Gluten-Free Deli Style Sourdough Bread,bread,y
10,304,Healthy Planet,Schar Gluten Free Deli Style Bread Sourdough 240g - Preservatives Free and Non-GMO,bread,y
10,305,Healthy Planet,Schar Gluten Free Deli Style Bread Seeded 250g - Preservatives Free and Non-GMO,bread,y
11,280,Walmart,Schar Schär Gluten-Free Artisan Baker Multigrain Bread,bread,y
11,284,Walmart,Schar Schär Gluten-Free Artisan Baker 10 Grains & Seeds Bread,bread,y
11,308,Healthy Planet,Schar Gluten Free Artisan Baker Multigrain Bread 400g - Non-GMO and Gluten Free,bread,y
11,322,Healthy Planet,Schar Gluten Free Artisan Baker White Bread 400g - Non-GMO and Gluten Free,bread,y
12,390,Well.ca,FreeYumm Banana Maple Cookies,bananas,y
12,451,London Drugs,Freeyumm Banana Maple Cookies Size 154g,bananas,y
13,392,London Drugs,Baby Gourmet Baby Food - Cherry Banana & Spinach Size 128ml,bananas,y
13,407,Shoppers Drug Mart,Baby Gourmet Cherry Banana & Spinach 128 mL,bananas,y
14,393,London Drugs,Baby Gourmet Baby Food - Vanilla Banana Berry Risotto Size 128mlst 3,bananas,y
14,405,Shoppers Drug Mart,Baby Gourmet Vanilla Banana Berry Risotto 128 mL,bananas,y
14,428,Walmart,Baby Gourmet Organic Puree Vanilla Banana Berry Risotto 128 Ml,bananas,y
15,398,Walmart,Baby Gourmet Organic Puree Banana Fig Oatmeal 4 Oz,bananas,y
15,401,London Drugs,Baby Gourmet Plus Baby Food - Banana Fig Oatmeal,bananas,y
15,404,Well.ca,Baby Gourmet Organic Banana Fig Oatmeal,bananas,y
15,411,Well.ca,Baby Gourmet Organic Banana Fig Oatmeal Bundle,bananas,n
16,400,Well.ca,Baby Gourmet Vanilla Banana Berry Risotto Organic Baby Food,bananas,y
16,447,Healthy Planet,Baby Gourmet Vanilla Banana Berry Risotto Organic 128mL - Kosher and Nut Free,bananas,y
17,408,London Drugs,Made Good Cookies - Chocolate Banana Mini Size 120g5pk,bananas,y
17,415,Healthy Planet,Made Good Mini Cookies Chocolate Banana 120g - Organic and Vegan,bananas,y
18,409,London Drugs,"Love Child Organics Puree - Banana, Pumpkin, Pear and Coconut Size 128ml",bananas,y
18,425,Walmart,"Love Child Organics Superblends Bananas, Pumpkin, Pears + Coconut Puree 128ml Pouch 128 Ml",bananas,y
18,445,Healthy Planet,Love Child Organic Puree Banana Pumpkin Pear & Coconut 128mL - Organic and Vegan,bananas,y
19,410,Shoppers Drug Mart,"Love Child Power Yo'rridge Pears, Bananas, Blackberries + Raspberries Puree 128 mL",bananas,y
19,432,Walmart,"Love Child Organics Power Yo'rridge Pears, Bananas, Blackberries + Raspberries Puree 128ml Pouch 128 Ml",bananas,y
20,427,Walmart,"Gerber Organic Purée, Pear Banana Blueberry, Baby Food 128 Ml",bananas,n
20,429,Walmart,"Gerber Organic Purée, Banana Mango, Baby Food 128 Ml",bananas,y
20,434,Shoppers Drug Mart,Gerber Organic PurÃ©e Banana Mango Baby Food 128 mL,bananas,y
21,431,Walmart,Gerber Puffs Banana Baby Snacks 42 G,bananas,y
21,438,Shoppers Drug Mart,"Gerber Puffs, Banana, Baby Snacks 42 g",bananas,y
21,439,London Drugs,Gerber Toddler Snacks Puffs - Banana,bananas,y
22,454,Shoppers Drug Mart,Love Child Oaty Bites Chocolate + Banana Snack Bites 100 g,bananas,y
22,463,Walmart,Love Child Organics Oaty Bites Chocolate + Banana Snack Bites 100g Pouch 100 G,bananas,y
23,490,London Drugs,Kokuho Rice Kokuho Original California Supreme Rose White Rice Size 1kg,rice,y
23,585,Walmart,Kokuho Rose Extra Fancy Premium Sushi Rice 1kg (2.2 Lbs),rice,y
24,542,Walmart,Dainty Foods Dainty Basmati Rice 900 G,rice,y
24,563,Healthy Planet,Inari Organic White Basmati Rice 900g,rice,y
24,571,Healthy Planet,Dainty Basmati Rice 900g - Non-GMO,rice,y
25,607,Shoppers Drug Mart,I'm From Rice Toner 150 mL,rice,y
25,612,Healthy Planet,Im from Rice Toner 150mL,rice,y
26,1140,Healthy Planet,Bulk Onion Powder 114g,onions,n
26,1157,Walmart,Club House Onion Powder 116 G,onions,n
27,1488,Bureau en gros,Dole Orange Juice - 450ml - 12 Pack,orange juice,y
27,1489,Staples,Dole Orange Juice - 450ml - 12 Pack,orange juice,y
28,1490,Well.ca,Kiju Organic Mango Orange Juice Boxes,orange juice,y
28,1492,Walmart,Kiju Organic Mango Orange Fruit Juice Boxes 4 X 200 Ml 4x200ml,orange juice,y
28,1495,Healthy Planet,Kiju Organic Juice Mango Orange 4x200mL - Organic,orange juice,y
29,1491,Walmart,Kiju Organic Mango Orange Fruit Juice Blend 1 L 1l,orange juice,y
29,1494,Healthy Planet,Kiju Organic Juice Mango Orange 1L - Organic and Non-GMO,orange juice,y
30,1497,Well.ca,Baby Gourmet Melties Banana Berry with Greek Yogurt,yogurt,y
30,1498,London Drugs,Baby Gourmet Mushies Snacks - Banana Berry with Greek Yogurt,yogurt,y
30,1499,Well.ca,Baby Gourmet Melties Banana Berry with Greek Yogurt Bundle,yogurt,y
31,1501,Walmart,"Gerber Apple Banana Blueberry Yogurt Purée, Real Fruit & Yogurt, For Babies, 94ml 94 Ml",yogurt,y
31,1502,Walmart,"Gerber Banana Apple Mango Yogurt Purée, Real Fruit & Yogurt, For Babies, 94ml 94 Ml",yogurt,n
31,1515,Shoppers Drug Mart,Gerber Apple Banana Blueberry Yogurt PurÃ©e 94 mL,yogurt,y
31,1516,Shoppers Drug Mart,Gerber Pear Banana Yogurt PurÃ©e Pouch 92 mL,yogurt,n
31,1519,Shoppers Drug Mart,"Gerber Apple Yogurt PurÃ©e, For Babies Pouch 92 mL",yogurt,n
32,1611,Walmart,Gerber Organic Yogurt Melts Strawberry Banana Toddler Snack 28 G,yogurt,y
32,1618,London Drugs,Gerber Organic Yogurt Melts - Strawberry Banana Size 28g,yogurt,y
33,1674,Well.ca,Ojas Vegan Tomato Basil Quinoa Pops,tomatoes,y
33,1759,Healthy Planet,"Ojas Vegan Quinoa Pops Tomato Basil 45g - Vegan, Plant Based, Helps with Energy Support",tomatoes,y
34,1679,London Drugs,Love Child Organics Love Ducks Corn Snacks - Tomato + Carrot,tomatoes,y
34,1724,Healthy Planet,Love Child Organic Corn Snacks Love Ducks Tomato & Carrot 25g - Organic and Non-GMO,tomatoes,y
35,1689,London Drugs,Mutti Parma Pelati Peeled Tomatoes 100% Italian Size 796ml,tomatoes,y
35,1690,London Drugs,Mutti Parma Polpa Finely Chopped Tomatoes 100% Italian Size 796ml,tomatoes,n
35,1743,Walmart,Mutti Whole Peeled Tomatoes 796ml 796 Ml,tomatoes,n
36,1722,Bureau en gros,"Cricut Premium Vinyl Glossy Finish Permanent Adhesive - 12"" x 48"" - Tomato Red - 2 Pack",tomatoes,y
36,1723,Staples,"Cricut Premium Vinyl Glossy Finish Permanent Adhesive - 12"" x 48"" - Tomato Red - 2 Pack",tomatoes,y
37,1729,Walmart,Great Value No Salt Added Diced Tomatoes 796 Ml,tomatoes,n
37,1769,Healthy Planet,Vita Bio Organic Diced Tomatoes No Added Salt 796mL,tomatoes,n
38,1751,Walmart,Jamieson Lycopene Tomato Concentrate Caplets 60 Count (Pack Of 1),tomatoes,y
38,1777,Healthy Planet,Jamieson Lycopene Tomato Concentrate 60 Caplets - Gluten Free and Preservatives Free,tomatoes,y
39,1754,London Drugs,Quaker Rice Cakes - Savoury Tomato & Basil Size 173g,tomatoes,y
39,1764,Walmart,Quaker Crispy Minis Savoury Tomato & Basil Flavour Large Brown Rice Cakes 173g,tomatoes,y
40,1756,Shoppers Drug Mart,Love Child Love Ducks Tomato + Carrot Corn Snacks 30 g,tomatoes,y
40,1762,Walmart,Love Child Organics Love Ducks Tomato + Carrot Corn Snacks 30g Bag 30 G,tomatoes,y
41,2269,Bureau en gros,"Lantic Fine Granulated Sugar, 2 kg",sugar,y
41,2270,Staples,"Lantic Fine Granulated Sugar, 2 kg",sugar,y
42,2271,Bureau en gros,"Lantic Granulated Real Sugar Packets, 2000 Pack",sugar,y
42,2272,Staples,"Lantic Granulated Real Sugar Packets, 2000 Pack",sugar,y
43,2289,Staples,"Mother Parkers Sugar, 20 oz.",sugar,y
43,2290,Bureau en gros,"Mother Parkers Sugar, 20 oz.",sugar,y
44,2309,Bureau en gros,Rogers Sugar Cubes - 500 g - 12 Pack,sugar,y
44,2310,Staples,Rogers Sugar Cubes - 500 g - 12 Pack,sugar,y
45,1796,Well.ca,Baby Gourmet Organic Jar Carrots & Ancient Grains,carrots,y
45,1807,Walmart,Baby Gourmet Organic Jar Carrots & Ancient Grains 113 Ml,carrots,y
45,1808,Shoppers Drug Mart,Baby Gourmet Carrots & Ancient Grains 113 mL,carrots,y
46,1822,Shoppers Drug Mart,Belov Organic Puffed Snack Carrot Sweet Potato Kale 42 g,carrots,y
46,1846,Healthy Planet,Belov Organic Puffed Cereal Snack Carrot Sweet Potato and Kale 42g - Canadian Owned and Non-GMO,carrots,y
47,1825,Shoppers Drug Mart,Baby Gourmet Simply Gourmet Carrot Cake Mini Oat Bites toddler snack 36 g,carrots,y
47,1832,Walmart,Simply Gourmet™ Carrot Cake Mini Oat Bites Toddler Snack | Soft-Baked Gluten-Free Snack For Toddlers 12+ Months | No Added Sugar | From The Makers Of ,carrots,y
48,1838,Shoppers Drug Mart,Amara Foods Mango Carrot Smoothie Melts 23 g,carrots,y
48,1840,Walmart,"Amara Plant Based Yogurt Smoothie Melts, Carrots Raspberry Various Sizes",carrots,n
48,1841,Walmart,"Amara Plant Based Yogurt Smoothie Melts, Mango Carrots Various Sizes",carrots,y
49,1875,London Drugs,Starbucks Coffee - Pike Place Medium Roast - Ground Coffee Size 340g,ground coffee,y
49,1930,Walmart,"Starbucks Pike Place Roast Ground Coffee, Medium Roast, Smooth, Well-Rounded Blend 340 G",ground coffee,y
50,1879,London Drugs,Starbucks Ground Coffee - Caramel Size 311g,ground coffee,y
50,1910,Walmart,Starbucks Caramel Flavoured Ground Coffee Bag 311 G,ground coffee,y
51,1884,Well.ca,Level Ground Andes Medium Roast Ground Coffee,ground coffee,y
51,1936,London Drugs,Level Ground Peru Ground Coffee - Medium Roast Size 300g,ground coffee,n
51,1974,London Drugs,Level Ground Andes Mountains Ground Coffee - Medium Roast Size 300g,ground coffee,n
51,1985,London Drugs,Level Ground Peru Whole Bean Coffee - Medium Roast Size 300g,ground coffee,n
51,1998,London Drugs,Level Ground Andes Mountains Whole Bean Coffee - Medium Roast Size 300g,ground coffee,n
52,1889,Shoppers Drug Mart,Nescafe GOLD Instant and Roast & Ground Medium Coffee 100 g,ground coffee,y
52,1901,Walmart,"Nescafé Nescafe Gold Premium Instant Medium Roast & Ground Coffee, Just Add Hot Water 100 G",ground coffee,y
53,1892,Bureau en gros,Tim Hortons Original Blend Ground Coffee - 300g,ground coffee,y
77,1893,Bureau en gros,Tim Hortons Decaf Blend Ground Coffee - 300g,ground coffee,y
53,1894,Staples,Tim Hortons Original Blend Ground Coffee - 300g,ground coffee,y
77,1895,Staples,Tim Hortons Decaf Blend Ground Coffee - 300g,ground coffee,y
53,1943,London Drugs,Tim Hortons Coffee - Dark Roast - Ground Coffee Size 300g,ground coffee,n
53,1949,London Drugs,Tim Hortons Coffee - Original Blend - Ground Coffee Size 300g,ground coffee,y
77,1954,London Drugs,Tim Hortons Coffee - Decaf - Ground Coffee Size 300g,ground coffee,y
53,1970,London Drugs,Tim Hortons Coffee - French Vanilla Light Medium Roast - Ground Coffee Size 300g,ground coffee,n
54,1909,Walmart,"Illy Ground Coffee Drip Classico Medium Roast, 8.8 Oz 8.8 Oz",ground coffee,n
54,1961,London Drugs,Illy Intenso Bold Roast - Ground Coffee Size 250g,ground coffee,y
54,1965,London Drugs,Illy Classico Classic Roast - Ground Coffee Size 250g,ground coffee,n
