search_term,candidate_category,score,chosen
apples,"Apples, per kilogram",75,
apples,"Apple juice, 2 litres",65.5,
apples,"Frozen mixed vegetables, 750 grams ",60,
apples,"Grapes, per kilogram",60,
apples,"Meatless burgers, 226 grams",60,
bananas,"Bananas, per kilogram",77.1,
bananas,"Canned baked beans, 398 millilitres",51.4,
bananas,"Canned beans and lentils, 540 millilitres",51.4,
bananas,"Canned salmon, 213 grams",51.4,
bananas,"Canned soup, 284 millilitres",51.4,
bread,"Crackers and crisp breads, 200 grams ",90,
bread,"Flatbread and pita, 500 grams ",90,
bread,"White bread, 675 grams",90,y
bread,"Chicken breasts, per kilogram",72,
bread,"Cream, 1 litre",60,
butter,"Peanut butter, 1 kilogram",90,
butter,"Butter, 454 grams",75,y
butter,"Meatless burgers, 226 grams",60,
butter,"Pork shoulder cuts, per kilogram",46.6,
butter,"Beef rib cuts, per kilogram",45,
canned beans,"Canned beans and lentils, 540 millilitres",85.5,
canned beans,"Dry beans and legumes, 900 grams ",85.5,
canned beans,"Canned baked beans, 398 millilitres",68.6,y
canned beans,"Canned peach, 398 millilitres",65.5,
canned beans,"Canned pear, 398 millilitres",65.5,
carrots,"Carrots, 1.36 kilograms",77.1,
carrots,"Pears, per kilogram",45,
carrots,"Margarine, 907 grams",41.5,
carrots,"Avocado, unit",40,
carrots,"Canned tomatoes, 796 millilitres",39.5,
cereal,"Cereal, 400 grams",75,y
cereal,"White bread, 675 grams",60,
cereal,"Cream, 1 litre",54,
cereal,"Iceberg lettuce, unit",49.1,
cereal,"Meatless burgers, 226 grams",49.1,
cheese,"Block cheese, 500 grams",90,y
cheese,"Iceberg lettuce, unit",49.1,
cheese,"Salad greens, 142 grams",46.6,
cheese,"Sunflower seeds, 400 grams ",46.6,
cheese,"Apple juice, 2 litres",45,
chicken breast,"Chicken breasts, per kilogram",83.6,y
chicken breast,"Chicken drumsticks, per kilogram",64.3,
chicken breast,"Chicken thigh, per kilogram",62.6,
chicken breast,"White bread, 675 grams",60,
chicken breast,"Whole chicken, per kilogram",57.9,
eggs,"Eggs, 1 dozen",67.5,y
eggs,"Apple juice, 2 litres",60,
eggs,"Baby food, 128 millilitres",60,
eggs,"Canned corn, 341 millilitres",60,
eggs,"Canned peach, 398 millilitres",60,
flour,"Wheat flour, 2.5 kilograms",90,y
flour,"Apples, per kilogram",54,
flour,"Bananas, per kilogram",54,
flour,"Beef rib cuts, per kilogram",54,
flour,"Beef stewing cuts, per kilogram",54,
frozen vegetables,"Frozen mixed vegetables, 750 grams ",66.2,y
frozen vegetables,"Frozen green beans, 750 grams",58.2,
frozen vegetables,"Frozen strawberries, 600 grams",58.1,
frozen vegetables,"Frozen peas, 750 grams",51.3,
frozen vegetables,"Frozen broccoli, 500 grams",50.4,
ground coffee,"Roasted or ground coffee, 340 grams",90,y
ground coffee,"Ground beef, per kilogram",62.6,
ground coffee,"Frozen corn, 750 grams ",49.1,
ground coffee,"Brown rice, 900 grams ",47,
ground coffee,"Frozen french fried potatoes, 750 grams",47,
lettuce,"Iceberg lettuce, unit",90,y
lettuce,"Romaine lettuce, unit",90,
lettuce,"Apple juice, 2 litres",51.4,
lettuce,"Dry beans and legumes, 900 grams ",51.4,
lettuce,"Orange juice, 2 litres",51.4,
milk,"Nut milk, 1.89 litres",90,
milk,"Soy milk, 1.89 litres",90,
milk,"Baby food, 128 millilitres",67.5,
milk,"Canned corn, 341 millilitres",67.5,
milk,"Canned peach, 398 millilitres",67.5,
milk,"Milk, 2 litres",67.5,y
olive oil,"Olive oil, 1 litre",80,y
olive oil,"Canola oil, 3 litres",60,
olive oil,"Vegetable oil, 3 litres",60,
olive oil,"Milk, 1 litre",51.8,
olive oil,"Broccoli, unit",50,
onions,"Onions, 1.36 kilograms",75,y
onions,"Onions, per kilogram",75,
onions,"Mayonnaise, 890 millilitres ",60,
onions,"Beef striploin cuts, per kilogram",57,
onions,"Almonds, 200 grams",45,
orange juice,"Orange juice, 2 litres",82.5,y
orange juice,"Apple juice, 2 litres",57,
orange juice,"Oranges, per kilogram",54.8,
orange juice,"Romaine lettuce, unit",52.5,
orange juice,"Oranges, 1.36 kilograms",51.4,
pasta,"Dry or fresh pasta, 500 grams",90,y
pasta,"Pasta sauce, 650 millilitres",72,
pasta,"Toothpaste, 100 millilitres",72,
pasta,"Cantaloupe, unit",54,
pasta,"Chicken breasts, per kilogram",54,
potatoes,"Frozen french fried potatoes, 750 grams",90,
potatoes,"Sweet potatoes, per kilogram",90,
potatoes,"Potatoes, 4.54 kilograms",78.8,y
potatoes,"Potatoes, per kilogram",78.8,
potatoes,"Canned tomatoes, 796 millilitres",67.5,
rice,"Brown rice, 900 grams ",90,y
rice,"White rice, 2 kilograms",90,
rice,"Apple juice, 2 litres",67.5,
rice,"Chicken breasts, per kilogram",67.5,
rice,"Chicken drumsticks, per kilogram",67.5,
sugar,"White sugar, 2 kilograms",90,y
sugar,"Margarine, 907 grams",54,
sugar,"Meatless burgers, 226 grams",54,
sugar,"Almonds, 200 grams",51.3,
sugar,"Cookies and sweet biscuits, 300 grams ",51.3,
tomatoes,"Canned tomatoes, 796 millilitres",90,
tomatoes,"Tomatoes, per kilogram",78.8,
tomatoes,"Frozen french fried potatoes, 750 grams",68.4,
tomatoes,"Sweet potatoes, per kilogram",68.4,
tomatoes,"Potatoes, 4.54 kilograms",67.5,
yogurt,"Yogurt, 500 grams",75,
yogurt,"Apples, per kilogram",49.1,
yogurt,"Bananas, per kilogram",49.1,
yogurt,"Beef rib cuts, per kilogram",49.1,
yogurt,"Beef stewing cuts, per kilogram",49.1,
